"Part";"Value";"Device";"Package";"Description";"ARROW_ELECTRONICS-PURCHASE-URL";"AVAILABILITY";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"MF";"MOUSER-PURCHASE-URL";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";"TEXAS_INSTRUMENTS-PURCHASE-URL";
"9V";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"C1";"";"C2.5/4";"C2.5-4";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";
"C2";"100μF";"C2.5/4";"C2.5-4";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";
"C3";"100μF";"C2.5/4";"C2.5-4";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";
"C4";"100μF";"C2.5/4";"C2.5-4";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";
"C5";"";"C2.5/4";"C2.5-4";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";
"C6";"";"C2.5/4";"C2.5-4";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";
"C7";"10nF";"C2.5/4";"C2.5-4";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";
"C8";"";"C2.5/4";"C2.5-4";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";
"C9";"0.47μF";"C2.5/4";"C2.5-4";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";
"C11";"100μF";"C2.5/4";"C2.5-4";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";
"C12";"100μF";"C2.5/4";"C2.5-4";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";
"C13";"";"C2.5/4";"C2.5-4";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";
"C15";"0.1μF";"C2.5/4";"C2.5-4";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";
"GND";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"JP1";"";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"67";"";"";"";"";"";
"JP2";"";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"62";"";"";"";"";"";
"JP3";"";"PINHD-1X15";"1X15";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";
"JP4";"";"PINHD-1X15";"1X15";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";
"JP5";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";
"JP6";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";
"JP7";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";
"L7805";"-L7805";"-L7805";"L7805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LD33CV";"-L7805";"-L7805";"L7805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED1";"";"LED_E";"LED_1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"D";"diode";"";
"Q1";"";"XTAL/S";"QS";"CRYSTAL";"";"";"";"";"";"";"";"";"";"";"";"59";"";"";"";"";"";
"Q2";"MC-306";"MC-306";"MC-306";"kHz RANGE CRYSTAL UNIT SMD";"";"";"";"";"";"";"";"MC-306 60.0KHZ  100PPM ,12.5PF";"1278040";"31M5576";"";"1";"";"";"";"";"";
"R1";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"4.7k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"27k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"100k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R6";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R7";"680";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R8";"7.5k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R9";"4.7k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R10";"22";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R11";"22";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R12";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R13";"100k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R14";"100k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R15";"1M";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R16";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R17";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R18";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R19";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S1";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";"";
"S2";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";"";
"S3";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";"";
"S4";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";"";
"S5";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";"";
"S6";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"";"72";"";"";"";"";"";
"SV1";"";"MA03-1";"MA03-1";"PIN HEADER";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"48";"";"";"";"";"";
"U$1";"ESP32_DEVKIT";"ESP32_DEVKIT";"ESP32_DEVKIT";"ESP32 DEVKIT BOARD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"LM358P";"LM358P";"DIP794W45P254L959H508Q8";"Check prices";"https://snapeda.com/shop?store=Arrow+Electronics&id=559457";"Good";" Dual standard operational amplifier 8-PDIP 0 to 70 ";"https://snapeda.com/shop?store=DigiKey&id=559457";"Texas Instruments";"https://snapeda.com/shop?store=Mouser&id=559457";"LM358P";"";"";"";"PDIP-8 Texas";"";"None";"";"";"";"https://snapeda.com/shop?store=Texas+Instruments&id=559457";
"U2";"OP07CP";"OP07CP";"DIP794W45P254L959H508Q8";"Buy Part";"";"Good";" Low-Offset voltage (0.25mV) single operational amplifier 8-PDIP 0 to 70 ";"https://snapeda.com/shop?store=DigiKey&id=558076";"Texas Instruments";"https://snapeda.com/shop?store=Mouser&id=558076";"OP07CP";"";"";"";"PDIP-8 Texas Instruments";"";"None";"";"";"";"https://snapeda.com/shop?store=Texas+Instruments&id=558076";
"U3";"OP07CP";"OP07CP";"DIP794W45P254L959H508Q8";"Buy Part";"";"Good";" Low-Offset voltage (0.25mV) single operational amplifier 8-PDIP 0 to 70 ";"https://snapeda.com/shop?store=DigiKey&id=558076";"Texas Instruments";"https://snapeda.com/shop?store=Mouser&id=558076";"OP07CP";"";"";"";"PDIP-8 Texas Instruments";"";"None";"";"";"";"https://snapeda.com/shop?store=Texas+Instruments&id=558076";
"U5";"STM32F103C8T6";"STM32F103C8T6";"QFP50P900X900X160-48N";"Mainstream Performance line, ARM Cortex-M3 MCU with 64 Kbytes Flash, 72 MHz CPU, motor control, USB and CAN";"";"Unavailable";" ARM® Cortex®-M3 STM32F1 Microcontroller IC 32-Bit 72MHz 64KB (64K x 8) FLASH 48-LQFP (7x7) ";"";"STMicroelectronics";"";"STM32F103C8T6";"";"";"";"LQFP-48 STMicroelectronics";"";"None";"";"";"";"";
"X2";"MINI-USB-32005-301";"MINI-USB-32005-301";"32005-301";"MINI USB-B Conector";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"0";"";"";"";"";"";
